"SchemaName","TableName","ApproxRows","ColumnCount"
dbo,"AgenteMedioPago",3,1
dbo,AjusteSaldo,86,1
dbo,AjusteStock,53893,7
dbo,"ArchivosClientes",32,4
dbo,"Asientos",6475,1
dbo,"AsientosDetalles",54039,3
dbo,"AsientosTipos",11,1
dbo,"AsientosTiposDetalles",96,4
dbo,Capitulos,5,1
dbo,"CategoriasCliente",3,3
dbo,"CategoriasFiscales",3,1
dbo,"CategoriasImpositivas",12,1
dbo,"CategoriasMercadoLibre",13,1
dbo,"CategoriasProducto",264,8
dbo,Cheques,214,1
dbo,"Clientes",87740,41
dbo,"ClientesCanalesCaptacion",4,2
dbo,"ClientesFechaPago",66,6
dbo,"ClientesObservaciones",56,4
dbo,"ClientesServicios",203,7
dbo,"ClienteSucursales",130,10
dbo,"ClientesUsuarios",95,5
dbo,"ClientesUsuariosSolicitudes",88,8
dbo,"CobranzaOrdenDescuento",210,10
dbo,"CobranzasVentas",3219,3
dbo,"Compras",24054,38
dbo,"ComprasCostos",162,3
dbo,"ComprasLineas",15708,17
dbo,"ComprasLineasCosto",651,7
dbo,"ComprasLineasReferenciaDescuento",20,4
dbo,"ComprasMediosPago",930,10
dbo,"ComprasRemitos",33,3
dbo,"ConceptosContables",30,1
dbo,"ConceptosLiquidacionTarjetas",7,1
dbo,"CuentasBancariasMovimientos",77,11
dbo,"CuentasContables",168,1
dbo,"Cupones",2131,1
dbo,Depositos,27,3
dbo,"DocumentoFactura",72,2
dbo,"Documentos",0,24
dbo,"DocumentosImputados",0,4
dbo,"DocumentosLineas",0,10
dbo,"EnvioMensajesPreGuardados",20,1
dbo,"EnvioOrdenTrabajoLaboratorio",387,9
dbo,"Eventos",6864,3
dbo,"EventosAgendaRoles",16,1
dbo,"EventosNotificaciones",17,1
dbo,"GiftCard",192,2
dbo,"LiquidacionesTarjetasVouchers",104,1
dbo,"Marca",36,2
dbo,MediosPago,33,1
dbo,"MediosPagoTarjetas",0,1
dbo,"Menu",412,2
dbo,"Monedas",9,3
dbo,"MovimientoDepositos",9,3
dbo,"MovimientosCajas",1824,12
dbo,"MovimientosCajasConceptos",32,4
dbo,"MovimientosCajasMediosPago",1496,8
dbo,"NumeracionDocumentos",208,4
dbo,"OrdenesDescuentoTipo",286,13
dbo,"OrdenesDescuentoTipoCuentasBancarias",44,4
dbo,"OrdenesDescuentoTipoFechaFacturacion",32,4
dbo,"OrdenesECommerce",4080,24
dbo,"OrdenesECommerceDescuentos",0,9
dbo,"OrdenesECommerceDocumentosReferencia",55,5
dbo,"OrdenesECommerceEstado",12,3
dbo,"OrdenesECommerceLineas",2068,11
dbo,"OrdenesECommerceRecetas",60,20
dbo,"OrdenesECommerceTipo",12,6
dbo,"OrdenesTrabajo",238542,83
dbo,"OrdenesTrabajoAccesorios",1503,9
dbo,"OrdenesTrabajoArchivos",12,4
dbo,"OrdenesTrabajoArmazones",24850,14
dbo,"OrdenesTrabajoCristales",27900,12
dbo,"OrdenesTrabajoEstudios",384,12
dbo,"OrdenesTrabajoEtapas",15,3
dbo,"OrdenesTrabajoEtapasHistorico",15432,6
dbo,"OrdenesTrabajoMediosPago",0,7
dbo,"OrdenesTrabajoOperaciones",1903,11
dbo,"OrdenesTrabajoOperacionesDoctores",855,3
dbo,"OrdenesTrabajoOrdenesDescuento",8606,13
dbo,"OrdenesTrabajoProductos",3536,13
dbo,"OrdenesTrabajoReceta",78630,30
dbo,"OrdenesTrabajoTratamientos",336,12
dbo,"OrdentrabajoCupones",456,3
dbo,"PagosCompras",27,3
dbo,Paises,200,1
dbo,"Parametros",155,1
dbo,"ParametrosSucursales",1672,8
dbo,"ParametrosTerminales",0,1
dbo,"Permisos",164,1
dbo,"ProductoCategoriaCodigoProveedor",16,4
dbo,"ProductoFormaCodigoProveedor",0,4
dbo,"Productos",822136,56
dbo,"ProductosAtributos",0,4
dbo,"ProductosCodigos",44547,3
dbo,"ProductosColor",1329,3
dbo,"ProductosColorCristal",204,3
dbo,"ProductosEstilo",6,2
dbo,"ProductosFamilia",0,3
dbo,"ProductosForma",54,3
dbo,"ProductosGeneros",12,2
dbo,"ProductosImagenes",141,3
dbo,"ProductosMaterial",18,2
dbo,"ProductosProveedor",288,6
dbo,"Proveedores",408,4
dbo,"ProveedoresIntegraciones",1,1
dbo,"ProveedoresIntegracionesConfiguracion",14,1
dbo,"ReferidosMovimientos",336,8
dbo,"Remitos",388,1
dbo,"RemitosLineasFacturadas",1000,5
dbo,"ResguardoConceptos",217,1
dbo,"Resguardos",110,2
dbo,"Sucursales",49,7
dbo,"TarjetaComisionSucursal",18,3
dbo,"TerminalesPosConfiguracion",13,1
dbo,TipoDocId,3,1
dbo,TiposCompatibles,10,2
dbo,"Vendedores",102,6
dbo,"VendedoresRoles",12,4
dbo,"VendedoresRolesComision",42,7
dbo,"VendedorRolDiferenciales",8,4
dbo,"VentaOrdenesTrabajo",4362,3
dbo,"Ventas",184212,42
dbo,"VentasCfeInfo",6192,8
dbo,"VentasEnviosPendientes",336,6
dbo,"VentasLineas",107472,16
dbo,"VentasMediosPago",53460,15
dbo,"VentasNotificadasShopping",343,7
dbo,"VentasSaldosMovimientos",44,4
dbo,"WhatsappConfiguracionTenantSucursal",0,3
